Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7784592456723605,0.7144164759725401,0.3250728862973761,0.44682982682123945,0.7723985040109699
Decision Tree,0.7370744010088273,0.5232532987237725,0.5037484381507705,0.513315649867374,0.67158308794145
Random Forest,0.7715808781382552,0.6010388325500866,0.5060391503540191,0.5494629734313171,0.7847666847924406
Gradient Boosting,0.7975467155795025,0.7053686934023286,0.4541857559350271,0.5525715733468457,0.8080366489576933
